"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","hispanic_pct","asian_pct","black_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley"
"Belknap","NH","1,915","3.2%","$63,436","$229,625","60,723","401","151","46.8","94.9%","1.7%","1.1%","0.5%","91.8%","31.5%","29,940","30,783","2.0","100.7","8.8%","81.5%","9.1%",
"Carroll","NH","1,493","3.1%","$58,303","$238,110","47,676","934","51","51.3","95.9%","1.5%","0.7%",,"93.4%","34.6%","23,948","23,728","2.0","101.3","8.6%","79.0%","8.5%","0.3%"
"Cheshire","NH","2,852","3.8%","$56,364","$186,800","75,774","707","107","42.9","94.2%","1.8%","1.3%","0.7%","92.1%","33.1%","37,376","38,398","2.0","100.0","7.0%","75.0%","9.7%","0.2%"
"Coos","NH","1,025","3.2%","$46,770","$127,802","32,395","1800","18","48.2","95.1%","1.8%",,"2.0%","87.1%","18.3%","17,303","15,092","2.0","98.7","11.4%","78.0%","10.2%","0.1%"
"Grafton","NH","4,550","5.1%","$61,520","$224,500","88,888","1713","52","43.1","91.1%","2.4%","3.3%","0.8%","92.8%","43.7%","43,711","45,177","2.0","100.5","11.0%","74.4%","10.0%","1.5%"
"Hillsborough","NH","38,953","9.6%","$76,254","$267,400","407,761","876","465","40.4","85.2%","6.5%","3.6%","2.2%","91.5%","37.3%","203,705","204,056","2.0","117.8","8.2%","81.4%","7.8%","0.4%"
"Merrimack","NH","6,291","4.2%","$69,505","$231,100","148,582","934","159","42.4","93.0%","2.1%","1.7%","1.1%","93.1%","35.8%","73,820","74,762","2.0","112.3","6.8%","81.1%","8.5%","0.1%"
"Rockingham","NH","13,681","4.5%","$81,726","$306,000","303,251","695","436","44.6","93.0%","2.7%","1.9%","0.7%","94.9%","40.3%","150,446","152,805","2.0","132.8","3.6%","80.4%","8.6%","0.5%"
"Strafford","NH","6,162","4.8%","$71,295","$206,200","127,428","369","346","36.9","91.1%","2.3%","3.0%","0.9%","94.1%","35.0%","62,491","64,937","2.0","131.1","6.2%","76.6%","8.7%","2.0%"
"Sullivan","NH","973","2.2%","$60,546","$179,971","43,287","537","81","46.1","95.3%","1.5%","0.8%",,"90.1%","27.6%","21,394","21,893","2.0","99.7","7.7%","75.3%","9.8%","0.2%"
